match_id,date,p1_name,p2_name,y,diff_avg_rest_days,diff_matches_28d,diff_rolling_10_winrate,diff_rolling_5_winrate,diff_streak,diff_win_rate,diff_peak_elo,diff_current_elo,diff_wr_Clay,diff_wr_Grass,diff_wr_Hard,elo_diff,selo_diff,surface,tourney_level,best_of,round
0,2021-01-04,Thiago Monteiro,Thomaz Bellucci,1,0.0,0,0.0,0.0,2,0.0,24.0,24.0,0.0,0.0,0.04545454545454547,0.0,0.0,Hard,A,3,R32
26,2021-01-04,Hubert Hurkacz,Sebastian Korda,1,1.5,-1,0.19999999999999996,0.19999999999999996,5,0.0,1.946274821940051,14.305829095104173,0.0,0.0,0.04285714285714293,-10.41327945122407,-8.097519234030187,Hard,A,3,F
25,2021-01-04,Christian Harrison,Hubert Hurkacz,0,-2.5,1,-0.25,-0.25,-4,0.0,-1.5867046494595343,-13.959109928744965,0.0,0.0,-0.07142857142857151,10.785700629825897,8.312817914838206,Hard,A,3,SF
24,2021-01-04,Cameron Norrie,Sebastian Korda,0,0.0,0,-0.25,-0.25,-5,0.0,-11.999984100683605,-23.999984669471814,0.0,0.0,-0.02857142857142858,1.6468104604427936e-05,3.944874606531812e-06,Hard,A,3,SF
23,2021-01-04,Christian Harrison,Gianluca Mager,1,0.0,0,0.33333333333333337,0.33333333333333337,4,0.0,11.600008842153784,23.614318270684635,0.0,0.0,0.03296703296703296,-0.4143005863770668,-0.23308460807152187,Hard,A,3,QF
22,2021-01-04,Hubert Hurkacz,Roberto Quiroz,1,5.0,-1,-0.16666666666666663,-0.16666666666666663,3,0.0,0.8143082123278873,13.214315838278708,0.0,0.0,0.10439560439560447,-11.585699413622933,-8.766915391928478,Hard,A,3,QF
21,2021-01-04,Cameron Norrie,Frances Tiafoe,1,0.0,0,0.33333333333333337,0.33333333333333337,4,0.0,11.600008842153784,23.614318270684635,0.0,0.0,0.03296703296703296,-0.4143005863770668,-0.23308460807152187,Hard,A,3,QF
19,2021-01-04,Christian Harrison,Cristian Garin,1,-15.0,1,0.0,0.0,3,0.0,35.171398827245866,35.171398827245866,0.0,0.0,0.11688311688311687,12.0,9.0,Hard,A,3,R16
18,2021-01-04,Gianluca Mager,Sam Querrey,1,0.0,0,0.0,0.0,3,0.0,12.0,24.0,0.0,0.0,0.038461538461538436,0.0,0.0,Hard,A,3,R16
17,2021-01-04,Daniel Elahi Galan,Hubert Hurkacz,0,-15.0,1,0.0,0.0,-2,0.0,-0.4143005863770668,-12.828601172754134,0.0,0.0,-0.1428571428571429,12.0,9.0,Hard,A,3,R16
16,2021-01-04,Ivo Karlovic,Roberto Quiroz,0,0.0,0,0.0,0.0,-3,0.0,-12.0,-24.0,0.0,0.0,-0.038461538461538436,0.0,0.0,Hard,A,3,R16
15,2021-01-04,Bjorn Fratangelo,Frances Tiafoe,0,0.0,0,0.0,0.0,-3,0.0,-12.0,-24.0,0.0,0.0,-0.038461538461538436,0.0,0.0,Hard,A,3,R16
14,2021-01-04,Adrian Mannarino,Cameron Norrie,0,15.0,-1,0.0,0.0,-3,0.0,-35.171398827245866,-35.171398827245866,0.0,0.0,-0.11688311688311687,-12.0,-9.0,Hard,A,3,R16
20,2021-01-04,John Isner,Sebastian Korda,0,5.0,-1,-0.5,-0.5,-4,0.0,-23.185691787672113,-34.78568416172129,0.0,0.0,-0.09999999999999998,-11.585699413622933,-8.766915391928478,Hard,A,3,QF
12,2021-01-04,John Isner,Thiago Monteiro,1,15.0,-1,0.0,0.0,2,0.0,0.4143005863770668,12.828601172754134,0.0,0.0,0.0,-12.0,-9.0,Hard,A,3,R16
13,2021-01-04,Sebastian Korda,Tommy Paul,1,0.0,0,0.0,0.0,3,0.0,12.0,24.0,0.0,0.0,0.09999999999999998,0.0,0.0,Hard,A,3,R16
